Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,,,,14-02-2024 13:40:29,14-02-2024 13:44:23,3m - 54.592s,PASSED
,,,,,,,
Test Cases/Register/Register - Berhasil,,,,14-02-2024 13:40:29,14-02-2024 13:42:37,2m - 8.053s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 13:40:31,14-02-2024 13:41:43,1m - 12.843s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.ImageView""), 0)",,,,14-02-2024 13:41:43,14-02-2024 13:41:45,1.666s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.LinearLayout""), 0)",,,,14-02-2024 13:41:45,14-02-2024 13:41:46,1.285s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.TextView - SIGN UP TODAY""), 0)",,,,14-02-2024 13:41:46,14-02-2024 13:41:48,1.735s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText""), 0)",,,,14-02-2024 13:41:48,14-02-2024 13:41:50,1.425s,PASSED
"setText(findTestObject(""Register/Register - Berhasil/android.widget.TextView - USER NAME""), ""Lilula"", 0)",,,,14-02-2024 13:41:50,14-02-2024 13:41:52,2.430s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText (1)""), 0)",,,,14-02-2024 13:41:52,14-02-2024 13:41:53,0.951s,PASSED
"setText(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText (1)""), ""lilu@gmail.com"", 0)",,,,14-02-2024 13:41:53,14-02-2024 13:41:55,2.224s,PASSED
hideKeyboard(),,,,14-02-2024 13:41:55,14-02-2024 13:41:58,2.401s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText (2)""), 0)",,,,14-02-2024 13:41:58,14-02-2024 13:41:58,0.508s,PASSED
"setText(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText (2)""), ""L@la1"", 0)",,,,14-02-2024 13:41:58,14-02-2024 13:42:01,2.747s,PASSED
hideKeyboard(),,,,14-02-2024 13:42:01,14-02-2024 13:42:03,1.997s,PASSED
"tap(findTestObject(""Object Repository/Register/Register - Berhasil/android.widget.EditText (3)""), 0)",,,,14-02-2024 13:42:03,14-02-2024 13:42:03,0.622s,PASSED
hideKeyboard(),,,,14-02-2024 13:42:03,14-02-2024 13:42:06,2.509s,PASSED
